RecordID,Timestamp,ConsumerID,Consumption_Liters,ConsumerType,Location
27226360,2023-09-03 00:28:48,49464,8213,Industrial,Lake Amberberg
25371880,2023-06-25 04:33:51,90635,2248,Commercial,Christopherville
27076811,2023-11-29 17:09:01,30569,2769,Commercial,Davidstad
15752470,2023-03-29 09:26:53,56086,9368,Industrial,East Jennifer
90730630,2023-04-01 06:25:54,27899,5979,Commercial,West David
28978795,2023-08-22 01:15:36,88115,703,Commercial,Hurleyton
16444982,2023-07-04 07:27:40,6668,6157,Commercial,North Rhonda
72361981,2023-02-14 06:52:11,65517,8787,Industrial,Jimmychester
165506,2023-08-18 22:27:15,6327,3168,Commercial,New Joel
39219775,2023-08-20 19:28:20,45034,86,Commercial,North Frank
7811177,2023-12-11 00:47:08,35620,1988,Industrial,Carolynstad
86450591,2023-04-25 10:51:55,87720,457,Commercial,East Seanton
14885158,2023-05-19 04:53:18,70962,5607,Industrial,Sosaburgh
19769962,2023-12-11 07:15:26,19371,5692,Commercial,South Douglasmouth
85699749,2023-02-10 22:53:10,94774,6711,Residential,Kennethton
87740378,2023-11-18 06:32:42,19860,5309,Industrial,Port Brianshire
90138334,2023-07-30 02:03:11,79631,4971,Residential,Meghanville
9985126,2023-03-10 11:21:42,74871,282,Industrial,Mossmouth
24971841,2023-06-24 19:01:04,97252,436,Industrial,Millerchester
26960612,2023-08-15 03:26:26,37783,9993,Commercial,New Amyside
83931138,2023-07-29 07:49:53,10997,3329,Industrial,Gloverfurt
21568560,2023-11-05 20:26:27,37225,7358,Commercial,Amyburgh
91638751,2023-07-12 23:13:35,94015,7170,Commercial,Brandonshire
93882389,2023-11-27 07:37:24,82619,7398,Residential,Washingtonview
43796614,2023-07-08 09:57:36,4066,6035,Commercial,Diazhaven
13812906,2023-08-09 23:32:12,10594,4256,Industrial,North Laurenport
74954822,2023-03-20 04:49:03,3483,9936,Commercial,East Williamport
93596556,2023-10-09 12:05:27,17383,3606,Commercial,Thompsonfurt
19084778,2023-04-13 08:19:04,68728,6954,Residential,Hernandezfort
27058659,2023-04-21 03:53:03,2290,7283,Commercial,Lake Christianberg
48837690,2023-02-25 04:01:43,70698,6780,Commercial,Smithland
53014690,2023-07-26 08:08:25,2102,4775,Industrial,Christopherland
24253263,2023-12-05 23:27:45,51862,1754,Commercial,Wardbury
9240679,2023-04-08 16:56:27,73337,2196,Commercial,South Sarah
70093973,2023-04-20 07:42:46,96364,9968,Commercial,Tylermouth
76230327,2023-01-11 23:45:27,46477,8225,Residential,Frederickborough
6009430,2023-03-06 20:03:36,85947,3897,Commercial,Williamburgh
32140219,2023-12-01 03:17:36,16119,5538,Residential,Lake Gabrielle
12518980,2023-08-06 18:35:16,62533,4687,Industrial,Lake Steven
48852820,2023-02-01 17:05:37,20415,996,Commercial,North Angelaberg
53216666,2023-05-27 07:33:04,22294,4008,Commercial,Christineburgh
4965653,2023-01-03 20:43:16,10770,3522,Residential,North Stevenfurt
60734140,2023-04-04 01:45:50,3739,1746,Residential,South Teresa
3321784,2023-10-12 02:15:55,96741,3678,Commercial,North Joestad
22209556,2023-02-16 17:12:49,17372,4581,Commercial,Kellyville
37324964,2023-07-15 02:14:58,44748,1438,Industrial,Elizabethview
23237392,2023-10-04 21:46:13,35256,4444,Industrial,Rhondamouth
8194379,2023-10-01 14:11:33,31918,2009,Residential,Port Lisa
25251968,2023-06-27 13:37:07,85198,1618,Industrial,Port Rachelmouth
14485638,2023-12-12 05:54:16,23025,868,Commercial,New Jessicamouth
12888301,2023-09-12 16:00:10,66553,5791,Commercial,Lake Catherine
85026123,2023-04-18 22:39:06,34235,9795,Residential,New Amandaborough
42727079,2023-10-02 16:05:45,3104,4632,Industrial,Lake Mark
99830853,2023-05-13 20:36:58,60712,2372,Residential,Millermouth
58821876,2023-09-14 20:36:01,25392,7640,Commercial,Abbotttown
14789916,2023-06-21 10:05:24,93859,1657,Commercial,Port John
78486135,2023-07-18 07:25:55,90433,7709,Commercial,East Kristinatown
7208968,2023-11-17 07:31:51,43337,8508,Commercial,Muellerland
37330444,2023-07-28 16:57:36,7345,8263,Commercial,Clarkport
10445346,2023-11-12 16:42:48,47986,2645,Commercial,North Charleschester
17847918,2023-05-10 14:25:10,34713,6874,Commercial,New Ryanshire
80664046,2023-05-14 21:39:11,10344,9291,Residential,Powellton
16929058,2023-02-01 04:35:03,73480,6738,Residential,East Steven
28688593,2023-06-01 04:57:59,83106,7239,Industrial,Laurenhaven
91825440,2023-12-16 23:01:17,5522,7811,Commercial,Lake Kelly
86759801,2023-03-24 15:03:50,89114,8617,Commercial,Christopherville
17150711,2023-09-25 13:37:03,51005,799,Residential,Sabrinastad
85494402,2023-11-07 06:21:22,99369,9150,Residential,Loganview
92271004,2023-03-23 23:50:09,32707,1457,Industrial,New Nicholas
50446849,2023-03-30 08:12:50,7710,3800,Commercial,Ashleyfurt
12719375,2023-04-03 07:14:41,89912,221,Commercial,Danielsberg
64430469,2023-02-24 18:16:54,62794,4902,Industrial,Christophermouth
42024698,2023-10-18 11:56:16,28817,9464,Commercial,South Eric
4847983,2023-02-04 22:32:50,909,5274,Industrial,Parsonsport
2487301,2023-02-17 16:43:58,24594,1589,Residential,West Alberttown
19957152,2023-08-05 11:37:03,98240,3210,Industrial,North Felicia
18065396,2023-07-07 11:07:00,38861,3545,Residential,Nicoleton
45192126,2023-04-13 06:23:30,69958,6880,Commercial,Jacksonfurt
98229880,2023-04-25 22:10:51,29321,5084,Residential,Karenbury
33762258,2023-09-20 00:44:48,1872,1173,Commercial,Stoneville
81969522,2023-02-17 23:16:47,41420,597,Residential,North Christopherborough
88937557,2023-01-06 11:41:17,75192,9525,Commercial,Chaveztown
71509289,2023-07-09 23:03:51,61351,1013,Commercial,East Carrie
84657133,2023-05-09 19:47:23,37483,4215,Industrial,South Elizabeth
55122783,2023-11-24 03:47:00,7570,5512,Residential,Thomaschester
30615398,2023-10-08 15:35:28,91873,9565,Industrial,Meganville
65401445,2023-11-26 23:41:49,79876,7019,Residential,Robertberg
15896147,2023-08-10 16:14:54,87010,8903,Industrial,New Robinfort
85998512,2023-04-22 04:58:58,19799,2761,Commercial,Port Victorport
72969493,2023-09-14 08:53:26,11519,663,Residential,North Christopherborough
17856253,2023-08-22 06:24:54,20159,9235,Residential,Port Gabrielle
19268524,2023-07-10 11:16:25,717,6412,Industrial,Fritzbury
46541614,2023-10-10 01:45:13,86352,7797,Residential,Christophershire
96551454,2023-07-07 09:56:26,7442,4794,Commercial,Lake Wyattstad
75492767,2023-03-20 14:43:24,8393,6248,Commercial,North Robertland
58044068,2023-01-01 16:26:50,59944,7269,Residential,North Christopher
31991268,2023-05-24 13:43:10,24710,5989,Industrial,Kyleborough
73638367,2023-06-24 12:18:20,32370,7542,Industrial,New Melissaside
69850277,2023-01-07 01:52:45,43382,733,Residential,Waltertown
90898309,2023-02-18 20:26:09,71221,5531,Residential,New Patricia
44493788,2023-05-12 14:50:51,63047,2611,Commercial,Myersmouth
74934001,2023-12-12 09:55:44,17817,4749,Industrial,East Joseph
47388720,2023-08-16 03:46:26,49055,9389,Commercial,South Marymouth
40561583,2023-10-22 14:57:58,62583,1149,Residential,Chandlerbury
89764104,2023-12-16 10:34:42,63339,2957,Commercial,West Shannon
68267284,2023-07-16 17:33:48,99123,3056,Commercial,West Lisa
16806203,2023-10-06 13:22:11,9989,5402,Industrial,East Andrewtown
31925245,2023-11-07 15:46:57,94896,971,Commercial,Katherineland
81435617,2023-06-03 19:38:24,20519,8972,Industrial,East Maryville
4818683,2023-11-21 01:04:39,64915,2731,Commercial,Khanchester
81107444,2023-06-28 08:57:51,44038,5219,Residential,Wintersfort
25975537,2023-10-23 17:20:49,72092,2254,Commercial,Clarkeburgh
89286723,2023-11-18 19:24:55,23974,5119,Commercial,South Rodneyside
68534448,2023-12-22 20:32:46,28227,9653,Commercial,South Cynthia
70285723,2023-10-16 17:13:55,73676,2402,Residential,Janicefort
74713705,2023-07-04 00:41:44,24001,5155,Industrial,Smithstad
56854274,2023-07-27 22:10:12,59642,3934,Commercial,South Mariashire
32794154,2023-01-18 04:39:24,22462,9456,Commercial,Dustinton
59067348,2023-11-04 17:29:57,93084,7456,Industrial,North James
18485067,2023-07-25 08:43:55,93196,8166,Residential,Port Jacob
39023958,2023-03-29 11:51:36,90733,5792,Commercial,Paulborough
44834708,2023-07-27 17:42:32,24440,6337,Residential,Port Victoriamouth
86763250,2023-01-06 12:04:35,81074,6848,Residential,Lake Melissafurt
46206869,2023-09-21 19:23:08,2516,3821,Residential,North Troy
97145226,2023-09-05 16:44:11,81996,3560,Industrial,Rayburgh
31521382,2023-05-17 12:34:55,84294,5333,Industrial,South Rachelfort
81465435,2023-11-07 04:08:45,39420,4013,Residential,Tamaraberg
54589763,2023-07-25 07:56:19,53694,7736,Industrial,Bartonstad
85375363,2023-08-18 21:27:13,50554,5462,Industrial,Danielstown
61698727,2023-04-09 17:49:43,64712,5093,Industrial,Markport
85075741,2023-11-07 17:34:13,86647,7644,Residential,Port Garrett
5757092,2023-12-18 06:39:53,81783,5885,Commercial,Lake Shelly
57991557,2023-04-20 06:36:24,88513,2241,Residential,Mcgeeshire
40551368,2023-04-07 01:45:29,9558,2712,Commercial,Kimberlyshire
23830437,2023-12-30 20:03:46,56624,7132,Residential,Barberhaven
90705625,2023-11-01 02:04:50,74275,3847,Commercial,Rodriguezberg
41497555,2023-11-27 21:52:22,243,132,Residential,North Stephanieville
58807796,2023-02-15 13:21:58,57558,9195,Commercial,Mariahside
13359307,2023-11-26 00:38:01,81805,5533,Industrial,East Tammy
88498701,2023-11-04 04:00:01,90399,1651,Commercial,North Jennifermouth
60498694,2023-12-14 14:40:59,60502,1665,Commercial,Christineside
41850727,2023-06-06 06:45:44,24097,5423,Industrial,Benjaminside
93332368,2023-12-24 20:10:29,50389,5009,Commercial,Port Robinside
98999080,2023-04-12 10:40:07,14074,3147,Industrial,West Williamchester
86383193,2023-11-10 04:27:40,18627,8753,Industrial,Paulborough
70079841,2023-10-14 23:03:02,40966,4730,Residential,South Christineport
33742289,2023-05-06 23:30:17,94197,5375,Industrial,Lake Jacob
73729710,2023-05-28 00:16:04,57273,8564,Residential,Port Dalton
47202228,2023-05-29 19:07:00,90259,5185,Industrial,Karenfurt
97457328,2023-03-26 21:17:45,28744,2607,Industrial,East Olivia
64162470,2023-02-16 15:12:16,13427,3641,Residential,West Jeremymouth
79560611,2023-06-27 00:57:23,65595,6275,Industrial,Ronnieport
13737125,2023-02-17 08:47:11,30332,6764,Commercial,Port James
39477520,2023-04-26 17:30:36,92042,8509,Commercial,Kimmouth
50054277,2023-11-21 16:38:33,75529,7756,Industrial,Davidview
88248861,2023-04-22 07:22:23,12577,4033,Industrial,Taylorview
31419109,2023-02-23 15:03:18,29317,9675,Commercial,Robertburgh
38011589,2023-01-20 05:15:01,78496,3692,Commercial,Gonzalezmouth
72084137,2023-04-15 13:25:44,87285,3920,Industrial,Ericside
30528555,2023-09-06 07:39:49,92877,4040,Industrial,North Anthony
92623051,2023-04-06 14:39:58,28092,5287,Residential,South Davidstad
96944882,2023-05-04 14:51:52,60352,1962,Industrial,Martinmouth
33564428,2023-07-03 07:16:13,54065,6226,Industrial,Bakershire
98217824,2023-01-26 22:59:04,67447,636,Industrial,Wintersport
22627868,2023-08-16 20:17:24,65538,2422,Residential,South Jeremiah
42188837,2023-06-30 02:52:00,20041,7144,Industrial,Loganside
20543979,2023-08-09 20:14:46,76002,7048,Industrial,North Tasha
14318555,2023-03-24 13:11:26,24239,4727,Residential,Janetborough
74171681,2023-07-28 23:56:13,90710,7929,Industrial,Kevinchester
37247219,2023-08-29 18:49:48,21647,269,Industrial,Codyfort
14237485,2023-04-07 06:55:09,51601,7325,Industrial,Brewerside
50622535,2023-12-16 16:23:28,74880,3208,Commercial,Elizabethbury
95427904,2023-08-02 23:26:19,18975,400,Industrial,West Barrymouth
98599457,2023-10-09 23:25:13,4369,2454,Industrial,Lisamouth
8645291,2023-07-24 11:26:16,81234,1575,Industrial,Maxwellborough
10163371,2023-08-05 12:30:47,34161,7208,Commercial,Karenburgh
71445576,2023-08-16 00:27:22,9293,2300,Industrial,Raymondfort
2936705,2023-02-25 00:32:21,93417,2556,Industrial,Lake Gregory
64021628,2023-07-25 22:07:47,81456,8658,Industrial,Fowlershire
99757102,2023-03-21 04:19:56,53963,705,Commercial,West Tammy
76734870,2023-10-13 06:12:08,79736,6872,Residential,New Victor
29365649,2023-01-29 12:23:37,94516,2374,Residential,New Sarahstad
89710457,2023-11-22 06:13:37,51912,7086,Commercial,Jenkinsberg
34883834,2023-03-22 20:19:46,2367,9468,Commercial,Smithville
60787341,2023-03-12 11:35:01,9175,7519,Industrial,North Annview
90924535,2023-08-17 08:25:07,82666,1871,Residential,Mortonfurt
95796425,2023-07-13 02:58:05,95913,875,Industrial,New Kelly
92133003,2023-10-19 16:28:46,27426,3849,Commercial,Campbellville
8966246,2023-03-21 17:58:05,83332,3783,Commercial,East Evan
88022654,2023-02-03 17:06:34,94478,3278,Residential,East Kyleside
19516568,2023-06-08 08:15:38,75215,7458,Industrial,East Michelle
98644288,2023-03-28 22:02:53,57888,3290,Residential,Harmonland
51162377,2023-07-07 22:31:46,82235,7259,Industrial,Morrowland
60756125,2023-07-29 00:09:25,91792,5051,Industrial,East Michaelshire
92645124,2023-01-24 21:43:04,17579,6431,Residential,Ramirezmouth
79104453,2023-07-24 02:05:17,41146,7316,Industrial,West Kristineshire
63225563,2023-08-05 18:24:27,53245,4610,Residential,South Emilyport
51694686,2023-11-12 07:09:23,78300,7180,Residential,Port Daniel
4748443,2023-11-28 04:52:21,57883,3642,Residential,North Jerry
19187515,2023-07-02 13:16:48,48873,6027,Industrial,Davidtown
65622566,2023-12-10 04:51:16,48955,4808,Residential,Joseburgh
87313620,2023-04-24 18:32:35,42535,7852,Industrial,South Tommychester
30107075,2023-08-12 16:51:05,56313,231,Residential,Whitneymouth
42826648,2023-04-19 11:53:44,31006,3451,Industrial,East Kimberly
39888511,2023-01-06 07:28:46,81202,8002,Industrial,Annettefort
16527568,2023-04-01 08:30:07,63297,8966,Industrial,North Austin
86076214,2023-08-18 08:47:02,68193,8378,Commercial,Angelaside
68332580,2023-01-21 03:18:43,19238,7107,Industrial,Lake Michael
50158524,2023-01-10 03:06:10,24924,9541,Commercial,Lake Mollymouth
14828243,2023-02-15 00:24:24,57102,7894,Commercial,Christinehaven
72588833,2023-08-25 03:23:14,39855,7996,Residential,East Christophermouth
59236608,2023-11-29 17:15:08,66624,5917,Residential,Port Michelle
19146909,2023-06-25 22:41:20,36082,931,Commercial,Williamsmouth
13483237,2023-10-08 17:39:12,83546,511,Residential,Wrightfurt
56711,2023-08-02 22:58:24,7630,7801,Residential,Careyburgh
94124409,2023-01-15 11:45:00,40098,6822,Industrial,New Lori
99907007,2023-12-09 07:16:10,59400,73,Industrial,Hawkinsland
96965519,2023-04-28 09:19:20,40559,7485,Industrial,South Brittany
1858751,2023-12-22 13:11:34,13447,2853,Commercial,Brandonbury
82648821,2023-03-30 20:47:21,37718,9992,Commercial,New Vincent
56728489,2023-08-07 10:32:21,63117,2512,Commercial,New Michael
21103929,2023-06-26 17:58:59,97187,9243,Commercial,North Victoriaborough
75146988,2023-06-24 08:57:55,39358,9810,Industrial,Jonathanfort
57759493,2023-11-02 00:21:51,29579,3316,Commercial,South Stevenhaven
66023641,2023-07-11 03:36:19,75423,8041,Industrial,New Jenniferview
70337580,2023-11-04 11:41:31,43557,1200,Commercial,North Shannon
38307845,2023-05-17 03:27:14,99827,6660,Industrial,Allenborough
38832763,2023-07-30 22:24:10,50674,5497,Commercial,North Mary
76057684,2023-03-21 19:12:58,85719,6240,Residential,New Christopher
46830344,2023-07-29 02:45:38,79735,8528,Residential,New Candice
21413678,2023-10-04 16:37:07,850,1219,Industrial,Carrstad
67621098,2023-06-26 04:42:14,56491,7736,Commercial,North Jacobbury
64933137,2023-11-27 06:47:50,90091,2406,Commercial,West Sara
34077093,2023-07-29 21:25:04,88372,1835,Industrial,New Dylanfurt
44370592,2023-08-19 18:26:43,69444,250,Industrial,North William
87154527,2023-04-24 00:58:14,97718,9949,Industrial,West Shawn
40277868,2023-04-15 20:24:22,7002,5686,Commercial,West Loriborough
15316649,2023-09-20 20:37:08,5903,2272,Industrial,Tinaborough
5403108,2023-10-08 12:56:27,38446,2920,Residential,Jamesstad
26153676,2023-02-16 06:35:56,41143,1869,Commercial,West Shirleystad
9415240,2023-11-07 03:49:01,50357,107,Commercial,Gomezville
76076869,2023-08-16 22:55:42,15078,1448,Residential,New Jefferymouth
5969440,2023-07-09 04:13:18,19259,9525,Residential,North Edward
82271899,2023-05-28 02:11:52,95261,9315,Commercial,West Katherine
504386,2023-07-22 05:44:01,85755,6661,Residential,Steinville
49721092,2023-07-26 19:05:21,17016,7088,Commercial,New Amberport
43648736,2023-01-05 02:56:39,21739,9023,Residential,Jimmytown
62190903,2023-07-04 22:02:19,27128,3163,Industrial,Michaelbury
37505344,2023-10-23 10:27:45,11800,8396,Commercial,Port Daniel
13961473,2023-05-02 19:15:42,48417,1589,Industrial,Ryanstad
47401608,2023-09-29 08:31:42,76403,3499,Commercial,Jasonmouth
70209280,2023-01-14 10:11:46,16846,7122,Residential,Martinezbury
16042772,2023-05-19 06:52:39,57132,6957,Commercial,Robertton
47994927,2023-11-19 08:03:54,65400,634,Industrial,Smithtown
47314741,2023-06-26 09:02:47,31183,7142,Residential,Patricktown
29100098,2023-03-08 17:08:34,69231,9258,Commercial,Lake Theresa
12418023,2023-01-28 00:04:17,61891,3725,Commercial,Reginaton
25878997,2023-12-24 09:17:30,21034,4786,Industrial,Wellsland
10212744,2023-02-02 00:06:26,24394,2538,Industrial,West Rebeccamouth
12711634,2023-03-05 18:32:28,60590,562,Industrial,South Kathy
64008964,2023-10-21 19:38:49,59888,4627,Industrial,Lake Andrewberg
84071903,2023-03-17 22:30:51,22452,9875,Residential,Brownbury
34088569,2023-10-11 08:30:16,67869,6774,Residential,Port Michelletown
43386920,2023-07-10 02:21:16,8311,9005,Residential,New Karen
27607988,2023-01-17 07:59:20,93283,607,Residential,Norrishaven
5796361,2023-08-11 09:36:10,56769,7087,Residential,Lake Valeriebury
65258544,2023-11-17 01:13:11,80111,3140,Residential,New Joechester
31515528,2023-05-16 16:42:01,95510,4717,Commercial,South Daniel
12508192,2023-04-01 07:08:11,97003,3159,Industrial,New Richard
41233852,2023-10-18 20:06:45,74718,3148,Residential,Lake Tracy
2917859,2023-09-27 08:12:33,23632,8625,Commercial,Lopezfurt
89628593,2023-03-06 23:15:37,19684,2511,Residential,Frenchborough
59958407,2023-11-30 12:25:23,14708,4299,Residential,Watersview
16414009,2023-06-12 10:13:57,85855,6192,Residential,Port Lisa
25034463,2023-04-03 08:12:18,50882,8848,Industrial,South Ronnie
47505396,2023-01-06 17:33:32,51502,664,Residential,Lake Toddberg
60169872,2023-04-29 11:55:21,50616,8933,Commercial,Lake James
87697090,2023-06-19 09:53:42,8325,6211,Residential,Ayalaview
63702353,2023-03-02 02:27:11,27297,2378,Commercial,Kevinfort
9881755,2023-09-09 08:45:30,53794,4167,Residential,South Martinfort
17200247,2023-03-09 17:45:16,30546,7654,Residential,Lake Seth
7183556,2023-02-14 05:15:49,92599,217,Industrial,Hooverville
40062230,2023-01-10 05:01:38,17473,8367,Residential,Port Caroline
66560428,2023-06-26 16:27:09,4317,8171,Commercial,South Sarah
76848855,2023-07-12 11:08:23,99145,7563,Residential,South Loriborough
36536337,2023-12-15 23:14:02,3657,6903,Residential,Turnerchester
85458449,2023-02-18 22:00:09,40606,8429,Residential,East Steven
69206277,2023-03-02 23:48:54,97363,8118,Industrial,Kimberlyborough
79803219,2023-08-09 18:17:44,65678,1841,Industrial,Hallland
85232624,2023-05-24 00:04:55,43937,7713,Industrial,West Joycechester
34112529,2023-09-04 22:23:30,72392,8458,Commercial,North Jamesmouth
36535580,2023-06-04 21:26:47,46048,2892,Commercial,Youngberg
28626321,2023-03-25 07:12:45,2160,545,Industrial,Lake David
27001019,2023-08-05 05:03:41,70067,7019,Industrial,Luketown
4280049,2023-01-08 00:26:27,60344,4729,Residential,Lake Cynthia
85183346,2023-05-19 04:59:16,92024,9742,Industrial,Ochoamouth
46757578,2023-02-16 18:52:54,18096,7649,Residential,Lake Tamibury
26654399,2023-08-20 02:05:14,29875,488,Industrial,North Scott
58776497,2023-03-25 20:22:34,11028,6278,Industrial,Lake Pedrofort
28903259,2023-10-09 08:45:30,2544,2657,Industrial,Greentown
85950353,2023-01-26 04:08:06,30520,7828,Industrial,South Alecborough
89412948,2023-12-04 22:05:01,23630,3188,Residential,Robertside
47169164,2023-02-26 12:00:18,66310,1855,Residential,Christinaview
1204531,2023-04-10 00:25:07,48,8030,Commercial,Glennville
9284725,2023-07-27 23:36:21,45799,1647,Commercial,Port Karaport
43902229,2023-04-16 01:53:59,13031,6802,Industrial,South Robert
7322871,2023-07-01 10:57:21,59328,8013,Commercial,Myersberg
58426051,2023-07-20 06:28:12,92513,1707,Commercial,Rangelview
81143591,2023-08-03 05:43:13,46250,5530,Industrial,Trujillohaven
5983923,2023-09-21 10:54:54,54688,5761,Commercial,Isabelfurt
9680570,2023-11-27 15:55:11,84508,861,Industrial,Marquezhaven
51220155,2023-05-27 10:30:23,54795,8567,Commercial,Obrienchester
78895620,2023-08-04 02:12:54,58423,6233,Commercial,Wrightville
15745764,2023-02-04 23:24:32,2684,7201,Industrial,North Sherry
69525278,2023-01-01 19:18:27,76824,135,Industrial,Callahanchester
34785070,2023-10-21 08:46:11,3250,1948,Residential,West Melissaview
11137852,2023-10-11 09:28:18,14566,5013,Industrial,New Justinchester
97659972,2023-09-08 00:04:38,40716,4048,Residential,Jimmyfort
23647933,2023-05-24 00:59:55,1471,1683,Industrial,Jacobsview
21514451,2023-05-07 11:19:25,66554,9426,Residential,Port Latoya
24121575,2023-05-30 10:20:22,37724,3161,Industrial,Murphyberg
74555937,2023-12-05 12:07:02,21239,9269,Industrial,North Robertfurt
80624490,2023-04-18 04:03:50,17760,5665,Residential,Stuartport
36184138,2023-01-16 10:13:55,35798,1184,Industrial,Huberfort
5135642,2023-11-13 06:54:56,75190,4529,Residential,Lake Daniel
84689523,2023-03-04 02:37:37,70990,2413,Commercial,New Davidburgh
14035367,2023-03-23 18:46:05,12482,9503,Commercial,Jimmyburgh
35750497,2023-01-09 04:02:50,95212,9272,Residential,Port Felicia
10287888,2023-02-07 11:12:57,64857,2580,Residential,Jermainefurt
34405324,2023-02-11 05:48:17,27661,2850,Residential,Port Scottfort
24648210,2023-07-13 21:17:12,28941,7729,Industrial,North Danielleborough
61471425,2023-10-09 13:55:32,51330,3346,Industrial,East Davidview
98654740,2023-10-11 02:55:57,91362,8332,Residential,East Richardchester
81672329,2023-02-10 13:56:37,36847,9238,Commercial,Adrianchester
69994589,2023-10-30 10:44:40,13829,1927,Commercial,Kristophermouth
11413161,2023-05-24 04:35:55,67808,8714,Commercial,Smithton
89747706,2023-12-11 00:31:19,58231,8319,Industrial,Scottton
85927771,2023-10-15 13:57:11,84435,3361,Residential,Lake Patrickburgh
88242055,2023-03-19 21:43:06,14434,1255,Commercial,Katherinestad
39765749,2023-03-29 02:59:46,70879,9667,Commercial,Deborahchester
21058920,2023-01-08 02:58:02,97411,2395,Commercial,Jamestown
43253449,2023-05-06 23:02:43,72308,1929,Commercial,Murphychester
253505,2023-04-30 10:08:27,14368,9156,Residential,North Anaview
36354057,2023-07-11 00:07:18,43957,8388,Industrial,Patriciaville
41899143,2023-02-12 01:42:24,80509,2886,Residential,Dawnberg
3535038,2023-07-09 17:15:24,76690,3473,Residential,Lake Richardmouth
74685189,2023-12-23 14:58:21,53088,733,Industrial,Lake Jessicahaven
23669,2023-01-03 20:14:15,61487,7329,Residential,South Michelle
23940089,2023-04-12 06:02:22,8875,1289,Commercial,West Brianfurt
78638765,2023-08-21 16:30:51,29411,1669,Industrial,East Erica
10026029,2023-08-28 07:24:39,28883,6891,Residential,South Kimberlyberg
82702653,2023-06-27 11:34:20,44913,375,Residential,Port Rebecca
32335834,2023-07-22 08:03:39,94428,6032,Commercial,Adamland
64794990,2023-02-10 15:55:36,56504,5238,Commercial,Grahamtown
26477181,2023-10-14 21:01:58,38623,5690,Industrial,New Nicholas
21775215,2023-04-17 04:43:08,23742,9340,Commercial,Joshuahaven
8180460,2023-02-13 15:51:45,32067,2144,Commercial,Port Jessica
33162310,2023-09-11 02:46:19,2283,6228,Residential,Tammystad
